Throttle_Percent,Power_W
0,1.11847426601853
1,0.525659059727141
2,0.932805850939556
3,2.05074174336269
4,3.16867763578583
5,5.75990074665165
6,8.47482440017679
7,10.6309056946583
8,12.4564380384371
9,14.2899370988656
10,16.3443323168084
11,18.3987275347513
12,20.5591892600355
13,22.8487802403263
14,25.1383712206172
15,27.5791892842241
16,30.0723496742879
17,32.5628773212535
18,34.9391364477691
19,37.3153955742847
20,39.7978736710773
21,42.349103887127
22,44.9003341031766
23,47.4648857781734
24,50.030442902457
25,52.300745317918
26,53.9978921919709
27,55.6950390660237
28,57.2586150949334
29,58.7209245872158
30,60.1832340794981
31,64.2117123474102
32,68.9310737529509
33,73.4839810212712
34,76.0506723517219
35,78.6173636821726
36,81.1453772553803
37,83.4314879704984
38,85.7175986856165
39,88.1884861850699
40,90.9335664594171
41,93.6786467337643
42,96.0194560986649
43,98.2652464772629
44,100.510612348706
45,102.754179204693
46,104.997746060679
47,107.231764592211
48,109.452019928974
49,111.672275265737
50,113.93251066358
51,116.202459814879
52,118.441406022232
53,120.564235042628
54,122.687064063025
55,124.692143694249
56,126.50804986996
57,128.323956045672
58,130.198558902727
59,132.082813171174
60,133.96704612947
61,135.851094306268
62,137.735142483066
63,139.637560741929
64,141.561382042034
65,143.485203342139
66,145.049200355297
67,146.554173251356
68,148.085487156135
69,149.703319617483
70,151.32115207883
71,152.744425900556
72,154.080688277937
73,155.416737483999
74,156.728776765396
75,158.040816046793
76,159.442940882939
77,161.022111525225
78,162.601282167511
79,164.014652331073
80,165.28397813287
81,166.553303934668
82,167.981562515999
83,169.459654714959
84,170.927880568724
85,172.323117656645
86,173.718354744567
87,174.951989919919
88,175.964130515598
89,176.976271111276
90,178.407809890529
91,180.008677292635
92,181.647014165383
93,184.0467928262
94,186.446571487018
95,188.977875040186
96,192.585380702451
97,196.192886364716
98,201.229695671038
99,207.393859990175
100,213.558024309313
