Throttle_Percent,Thrust_gf
0,5.54745689784246
1,5.78962919711062
2,6.14582410932091
3,6.22766071427295
4,6.30949731922499
5,10.6424426147745
6,15.3323206559203
7,24.2884571867957
8,35.768037483851
9,47.2317150113712
10,58.2544504496096
11,69.2771858878481
12,80.0818789040657
13,90.6211190811058
14,101.160359258146
15,112.102273201116
16,123.183559545177
17,134.257755778378
18,145.024221083197
19,155.790686388016
20,166.347877411806
21,176.769611932026
22,187.191346452246
23,197.271013079893
24,207.324861820775
25,216.773585833643
26,225.047627171722
27,233.321668509801
28,238.392530289624
29,241.034906274417
30,243.67728225921
31,256.667230402174
32,272.443029260557
33,287.868621613881
34,299.115370752428
35,310.362119890975
36,321.237582236847
37,329.790900210324
38,338.344218183802
39,347.058967055213
40,356.013265424237
41,364.96756379326
42,373.674578131593
43,382.323471350211
44,390.710200566627
45,397.985907066431
46,405.261613566234
47,412.761782573323
48,420.585497478023
49,428.409212382722
50,435.670803718996
51,442.795818731769
52,449.998336870599
53,457.491132119688
54,464.983927368777
55,472.150558830921
56,478.793183068287
57,485.435807305652
58,491.453571424099
59,497.368590686578
60,503.253617419898
61,508.878577278005
62,514.503537136111
63,520.375083247412
64,526.533927789295
65,532.692772331179
66,538.52810831557
67,544.310377267879
68,549.958902606562
69,555.168139362029
70,560.377376117495
71,565.114546523389
72,569.640597161059
73,574.169484882453
74,579.01791918641
75,583.866353490367
76,588.446482512592
77,592.499309182866
78,596.552135853141
79,600.741341345769
80,605.049030214172
81,609.356719082575
82,613.913201674506
83,618.547693921357
84,623.144425073928
85,627.461809050423
86,631.779193026919
87,635.981028376399
88,640.024490633845
89,644.067952891291
90,648.350971936768
91,652.730710096922
92,657.149171784367
93,662.354559770905
94,667.559947757444
95,673.340104431075
96,683.823304477221
97,694.306504523368
98,705.378093605784
99,716.913771149937
100,728.44944869409
